Time,CH A,CH B,
4.30215E-3,-1.48187E-1,-1.11625E-2,
4.32716E-3,-1.20187E-1,-6.3625E-3,
4.35218E-3,-1.56187E-1,-1.03625E-2,
4.37719E-3,-1.32187E-1,-7.1625E-3,
4.4022E-3,-1.68187E-1,-1.11625E-2,
4.42721E-3,-1.44187E-1,-6.3625E-3,
4.45223E-3,-1.76187E-1,-1.11625E-2,
4.47724E-3,-1.56187E-1,-6.3625E-3,
4.50225E-3,-1.80187E-1,-1.11625E-2,
4.52726E-3,-1.60187E-1,-6.3625E-3,
4.55228E-3,-1.88187E-1,-1.11625E-2,
4.57729E-3,-1.68187E-1,-6.3625E-3,
4.6023E-3,-1.92187E-1,-1.19625E-2,
4.62731E-3,-1.68187E-1,-7.1625E-3,
4.65233E-3,-1.96187E-1,-1.19625E-2,
4.67734E-3,-1.76187E-1,-7.1625E-3,
4.70235E-3,-2.04187E-1,-1.19625E-2,
4.72736E-3,-1.84187E-1,-7.1625E-3,
4.75238E-3,-2.12187E-1,-1.19625E-2,
4.77739E-3,-1.88187E-1,-7.1625E-3,
4.8024E-3,-2.16187E-1,-1.19625E-2,
4.82741E-3,-1.96187E-1,-7.1625E-3,
4.85243E-3,-2.24187E-1,-1.19625E-2,
4.87744E-3,-2.04187E-1,-6.3625E-3,
4.90245E-3,-2.24187E-1,-1.19625E-2,
4.92746E-3,-2.04187E-1,-7.1625E-3,
4.95248E-3,-2.28187E-1,-1.11625E-2,
4.97749E-3,-2.08187E-1,-7.1625E-3,
5.0025E-3,-2.24187E-1,-1.27625E-2,
5.02751E-3,-2.08187E-1,-7.9625E-3,
5.05253E-3,-2.24187E-1,-1.19625E-2,
5.07754E-3,-2.04187E-1,-7.9625E-3,
5.10255E-3,-2.24187E-1,-1.27625E-2,
5.12756E-3,-2.04187E-1,-7.1625E-3,
5.15258E-3,-2.20187E-1,-1.27625E-2,
5.17759E-3,-2.04187E-1,-6.3625E-3,
5.2026E-3,-2.20187E-1,-1.19625E-2,
5.22761E-3,-2.00187E-1,-7.9625E-3,
5.25263E-3,-2.16187E-1,-1.35625E-2,
5.27764E-3,-2.00187E-1,-8.7625E-3,
5.30265E-3,-2.16187E-1,-1.35625E-2,
5.32766E-3,-2.00187E-1,-8.7625E-3,
5.35268E-3,-2.16187E-1,-1.27625E-2,
5.37769E-3,-1.96187E-1,-7.1625E-3,
5.4027E-3,-2.08187E-1,-1.27625E-2,
5.42771E-3,-1.88187E-1,-7.9625E-3,
5.45273E-3,-2.04187E-1,-1.27625E-2,
5.47774E-3,-1.84187E-1,-8.7625E-3,
5.50275E-3,-2.00187E-1,-1.27625E-2,
5.52776E-3,-1.72187E-1,-8.7625E-3,
5.55278E-3,-1.92187E-1,-1.35625E-2,
5.57779E-3,-1.68187E-1,-8.7625E-3,
5.6028E-3,-1.84187E-1,-1.35625E-2,
5.62781E-3,-1.64187E-1,-8.7625E-3,
5.65283E-3,-1.80187E-1,-1.35625E-2,
5.67784E-3,-1.56187E-1,-8.7625E-3,
5.70285E-3,-1.68187E-1,-1.35625E-2,
5.72786E-3,-1.48187E-1,-7.9625E-3,
5.75288E-3,-1.60187E-1,-1.43625E-2,
5.77789E-3,-1.36187E-1,-8.7625E-3,
5.8029E-3,-1.48187E-1,-1.27625E-2,
5.82791E-3,-1.28187E-1,-9.5625E-3,
5.85293E-3,-1.40187E-1,-1.43625E-2,
5.87794E-3,-1.20187E-1,-8.7625E-3,
5.90295E-3,-1.32187E-1,-1.35625E-2,
5.92796E-3,-1.12187E-1,-8.7625E-3,
5.95298E-3,-1.20187E-1,-1.35625E-2,
5.97799E-3,-1.00187E-1,-8.7625E-3,
6.003E-3,-1.12187E-1,-1.35625E-2,
6.02801E-3,-9.2187E-2,-9.5625E-3,
6.05303E-3,-1.00187E-1,-1.43625E-2,
6.07804E-3,-7.6187E-2,-9.5625E-3,
6.10305E-3,-8.8187E-2,-1.43625E-2,
